date	meg_whitman	tim_cook	satya_nadella	marissa_mayer	larry_page	john_donahoe	mark_zuckerberg	dick_costolo	event
1	0	0	0	0	0	0	0	0
2	-3.19	1.32	-0.97	0.04	-1.85	-4.75	1.87	-8.7
3		1.47	-1.1			0.32
4			-1.72	-0.77		1.35
5	-2.81			0.09	-2.98	0.9	-11.5	-5.98
6	-0.24	-0.15			-1.64		-19.15	-8.17
7	0.24	-0.7	-1.61		-2.9		-16.87	-7.71
8	3.24	-2.13	-1.61	0.09	-3.42	5.05	-13.87	-3.36
9	0.11	-1.83	-1.08	1.56	-3.49	4.13	-16.73	-5.21
10		-1.07	-1.64	1.93		3.47
11			-1.69	1.99		1.27
12	2.36			0.83	-4.06	5.24		-10.5
13	3.1				-4.17		-25.62	-8.77
14	4.44	0.7			-3.96		-26.43	-10.07
15	7.63	-1.19	-2.87	0.59	-4.41	2.3	-22.48	-8.96
16	8.08	-0.36	-1.84	-0.12	-4.81	3.49	-25.29	-11.76
17		0.34	-1.89	-0.59		1.34
18			-1.2	-1.25		3.44
19	8.04			1.4	-4.8	-2.68	-27.83	-16
20	8.08	-0.1			-4.61		-31.05	-14.09
21	6.97	-0.35	-2.63		-4.63		-30.22	-13.13
22	5.35	-0.74	-2.89	1.6	-4.68	-0.69	-31.19
23	5.41	-1.12	-3.18	0.41	-4.09	-2.82	-29.8	-12.04
24		0.18	-2.78	1.18		-3.14
25			-1.37	1.75		-4.77
26	2.39			1.47	-3.8	-2.85	-28.85	-13.4
27	3.8	3.34			-3.97		-28.64	-11.97
28	3.32	4.7	-2.04		-4.68		-28.36	-7.05
29	2.54	6.52	-2.11	1.07	-4.73	-2.63	-26.15	-2.83
30	3.64	7.33	-3.01	0.4	-4.07	-2.73	-22.65	-4.95
31		6.81	-2.78	2.02		-2.85
32			-3.06	0.78		-4.87
33	3.82			0.25		-3.24	-19.67	3.76
34	2.26	5.1			-4.48		-19.35	10
35	4.63	2.84	-3.23		-3.13		-20.16	12.31
36	6.54	4.53	-2.1	-0.05	-4.06	-4.78	-17.54	18.88
37	9.94	3.29	-1.82	0.2	-5.35	-6.28	-15.39	26.69
38		3.55	-1.36	0.05		-4.77
39			-1.51	-1.18		-8.31
40	6.77			-6.56	-4.88	-6.87	-16.3	20.69
41	5.93	5.19			-5.31		-14.13	20.53
42	5.71	1.6	-1.4		-5.67		-17	17.17
43	7.15	0.85	1.23	-7.41	-6.03	-9.08	-18.51	21.7
44	8.14	-1.25	1.11	-9.03	-6.94	-5.94	-21.54	25.6
45		-2.16	3.56	-9.27		-5.12
46			4.15	-8.8		-7.07
47	11.41			-8.98	-7.02	-4.78	-22.8	33.64
48	9.94	-0.61			-7.6		-22.37	44.64
49	8.17	1.65	6.28		-7.21
50	9.79	1.3	5.66	-9.39	-7.3	-6.57	-21.7	51.13
51	10.89	2.26	5.74	-9.07	-8.37	-6.56	-20.01	31.76
52		3.77	5.16	-9.56		-5.71			{"person":"satya_nadella", "desc":"Cloud First, Mobile First Strategy","link":"http://www.computerworld.com/article/2489134/mobile-apps/microsoft-scraps--windows-first--practice--puts-office-on-ipad-before-surface.html"}
53			7.55	-9.33		-7.98
54	10.74			-9.45	-8.95	-5.75	-18.75	25.14
55	13.23	5.36			-7.87		-19.71	30.92
56	13.96	4.23	8.27		-8.14		-20.6
57	13.57	0.42	7.63	-9.97	-8.12		-20.41	39.97
58	17.19	-0.21	7.24	-10.87	-8.43	-8.27	-21.79	43.46
59		-2.29	7.33	-10.26		-7.92
60			7.13	-10.35		-10.85
61	14.66			-11	-7.6	-10.88	-27.82	38.44
62	13.84	-1.39			-7.19		-28.53	27.13
63	12.87	-1.11	8.2		-6.91		-26.75	22.28
64		-0.86	7.38		-7.46	-9.16	-27.6	17.92
65	12.01	-3.07	7.28	-9.78	-8.81	-10.89	-27.2	17.3
66		-2.95	7.68	-8.4		-11.78
67			8.73	-10.22		-11.6
68	13.06			-9.59	-9.09	-8.39	-26.34	20.76
69	15.18	-1.08			-8.96		-26.42	19.55
70	14.88	-0.23	8.02		-9.59		-23.89	25.49
71	15.73	-1.26	9.28	-9.3	-8.97	-10.28	-31.31	23.34	{"person":"mark_zuckerberg", "desc":"Revenue Growth Stalls, Shares Plummet","link":"http://www.reuters.com/article/2012/07/27/us-facebook-results-idUSBRE86P1LT20120727"}
72	13.49	-2	9.65	-9.02	-8.47	-10.48	-40.68	27.3
73		-2.25	8.35	-7.87		-8.71
74				-7.9		-13.05
75	14.04			-7.72	-9.09	-13.72	-41.81
76	14.55	-2.72			-12.03		-45.31	27.12
77	15.5	-2.3	7.48		-11.52		-47.06	26.42
78	14.74	-1.09	6.58	-8.09	-10.5	-13.51	-49	27.88
79	13.53	-3.74	6.66	-6.78	-10.28	-12.09	-47.38	28.48
80		-5.8	6.57	-7.15		-10.58
81			8.61	-7.37		-11.38
82	12.72			-7.78	-10.12	-8.57	-45.72	21.83
83	11.91	-6.37			-10.3		-49.13	26.71
84	11.89	-5.04	11.25		-9.96		-49.05	26.06
85	10.88	-4.37	9.49	-5.69	-9.57	-10.95	-48.46	32.25
86	8.91	-4.33	8.9	-6.3	-17.18	-11.69	-46.54	35.02	{"person":"larry_page", "desc":"Google+ Announced","link":"http://www.wired.com/2011/06/inside-google-plus-social/"}
87		-4.4	7.48	-5.99		-12.06
88			6.74	-4.72		-8.51
